Rhizobium phaseoli
Sanguibacter soli
Kibdelosporangium aridum
Cupriavidus pauculus
Exiguobacterium marinum
Streptococcus ratti
Microcella alkaliphila
Fructobacillus pseudoficulneus
Schwartzia succinivorans
Campylobacter volucris
Streptomyces castelarensis
Mahella australiensis
Tepidanaerobacter acetatoxydans
Myroides phaeus
Microbacterium trichothecenolyticum
Streptomyces carpinensis
Mesonia mobilis
Histophilus somni
Pseudomonas tolaasii
Ochrobactrum thiophenivorans
Lactobacillus kalixensis
Niastella koreensis
Inquilinus limosus
Marinospirillum insulare
Veillonella montpellierensis
Mycoplasma leachii
Acetobacter ghanensis
Thermoanaerobacter thermohydrosulfuricus
Thermus filiformis
Bacteroides eggerthii
Desulfofaba hansenii
Selenomonas bovis
Caldicellulosiruptor kronotskyensis
Salinimicrobium terrae
Alkalibacterium pelagium
Streptosporangium roseum
Gordonia aichiensis
Sphingomonas yabuuchiae
Campylobacter lari
Lactobacillus parakefiri
Magnetospirillum magnetotacticum
Streptomyces bungoensis
Streptomyces rubrogriseus
Hirschia maritima
Caldicoprobacter oshimai
Aggregatibacter segnis
Tranquillimonas alkanivorans
Oceanicola granulosus
Hydrogenophaga palleronii
Clostridium cochlearium
Gordonia rhizosphera
Kurthia sibirica
Desulfotomaculum hydrothermale
Halobacillus kuroshimensis
Alkalibacillus haloalkaliphilus
Porphyrobacter dokdonensis
Neisseria animaloris
Lactobacillus lindneri
Amycolatopsis methanolica
Paenibacillus cellulosilyticus
Caldithrix abyssi
Pseudospirillum japonicum
Limnohabitans parvus
Exiguobacterium aurantiacum
Legionella oakridgensis
Lactobacillus secaliphilus
Chromobacterium subtsugae
Aquimarina latercula
Aquabacterium parvum
Brevundimonas naejangsanensis
Desulfomicrobium norvegicum
Geobacillus subterraneus
Bartonella schoenbuchensis
Kosmotoga olearia
Paenibacillus rhizosphaerae
Sediminimonas qiaohouensis
Chitinilyticum aquatile
Streptomyces pseudogriseolus
Friedmanniella sagamiharensis
Geobacter lovleyi
Altererythrobacter marensis
Desulfofustis glycolicus
Sulfitobacter delicatus
Vibrio sagamiensis
Vibrio vulnificus
Halomonas gudaonensis
Staphylococcus rostri
Paenibacillus donghaensis
Blastomonas natatoria
Lutibacter maritimus
Rhodothermus profundi
Novosphingobium rosa
Tsukamurella pulmonis
Cohnella panacarvi
Mycobacterium montefiorense
Bifidobacterium psychraerophilum
Dethiosulfatibacter aminovorans
Bartonella koehlerae
Rhodopila globiformis
Bacillus circulans
Peptococcus niger
Desulfurispora thermophila
